Product ,Product Synonym,Combination,Route,Dose Form,Dose Qualification,Strength,Unit of Presentation,Immediate Packaging,Pack Size,Outer Packaging,Manufacturer,Brand,UC1,"UC2 
(Product)","UC3 
(Route)","UC4 
(form)","UC5 
(qualification)",UC6 (strength),"UC7 
(unit)",UC8 (immediate),"UC9 
(pack size)",UC10 (outer),UC11 (manufacturer),UC12 (brand),RxNav,WHO EML Product,WHO EML Item,NZULM,NZULM item,UNSPSC,,,,,,,,,,,,,
Acetylsalicylic Acid,Aspirin,,Oral,Tablet,,81mg,,,,,,,933f3f00,cf00cc3f,0396a900,c2bec800,,46a0743e,,,,,,,1191,"2.1, 7.1, 12.5.1, 29.3",,10010681000116105,,51143103,,,,,,,,,,,,,
Acetylsalicylic Acid,Aspirin,,Rectal,Suppository,,100mg,,,,,,,933f3f00,cf00cc3f,d0826b00,b5838200,,35ce74bf,,,,,,,1191,"2.1, 7.1, 12.5.1, 29.3","2.1, 29,3",10010681000116105,,51143103,,,,,,,,,,,,,
Acetylsalicylic Acid,Aspirin,,Rectal,Suppository,,150mg,,,,,,,933f3f00,cf00cc3f,d0826b00,b5838200,,35d934bf,,,,,,,1191,"2.1, 7.1, 12.5.1, 29.3","2.1, 29.3 ",10010681000116105,,51143103,,,,,,,,,,,,,
Acetylsalicylic Acid,Aspirin,,Rectal,Suppository,,50mg,,,,,,,933f3f00,cf00cc3f,d0826b00,b5838200,,35c954bf,,,,,,,1191,"2.1, 7.1, 12.5.1, 29.3","2.1, 29.3",10010681000116105,,51143103,,,,,,,,,,,,,
Aciclovir,Acyclovir,,Oral,Suspension,,40mg per mL,125mL,,,,,,933f3f00,18e10fbb,5fa01100,f3162500,,4efe7300,35ebd4bf,,,,,,281,"6.4.1, 21.1 ",6.4.1,10011101000116104,,51342309,,,,,,,,,,,,,
Aciclovir,Acyclovir,,Oral,Tablet,,200mg,,,,,,,933f3f00,18e10fbb,5fa01100,0e658a00,,35f0b4bf,,,,,,,281,"6.4.1, 21.1",6.4.1,10011101000116104,10011571000116103,51342309,,,,,,,,,,,,,
Aciclovir,Acyclovir,,Parenteral,Powder for reconstitution,,250mg,,,,,,,933f3f00,18e10fbb,f6429000,5d305400,,35f594bf,,,,,,,281,"6.4.1, 21.1",6.4.1,10011101000116104,10756581000116101,51342309,,,,,,,,,,,,,
Aciclovir,Acyclovir,,Topical,Ointment,,3%,4.5g,,,,,,933f3f00,18e10fbb,df171300,865dc700,,359d04bf,142f6a00,,,,,,281,"6.4.1, 21.1",21.1,10011101000116104,,51342309,,,,,,,,,,,,,
Albendazole,,,Oral,Tablet,Chewable,400mg,,,,,,,933f3f00,11c27038,c4616e00,0db27900,97ab5800,360504bf,,,,,,,430,"6.1.1, 6.1.2","6.1.1, 6.1.2",10025041000116105,44179131000116106,51451801,,,,,,,,,,,,,
Allopurinol,,,Oral,Tablet,,100mg,,,,,,,933f3f00,6d8482f7,4c549200,9f690d00,,36bad4bf,,,,,,,519,"8.2.5, 29.1","8.2.5, 29.1 ",10030501000116106,10030621000116103,51192001,,,,,,,,,,,,,
Allopurinol,,,Oral,Tablet,,300mg,,,,,,,933f3f00,6d8482f7,4c549200,9f690d00,,36bfd4bf,,,,,,,519,"8.2.5, 29.1","8.2.5, 29.1",10030501000116106,10030521000116104,51192001,,,,,,,,,,,,,
Alprostadil,Prostaglandin E1,,Parenteral,Solution,,0.5mg per mL,1mL,,,,,,933f3f00,61b3a61d,0786ef00,09fe2100,,5f2c74bf,c3686000,,,,,,598,22.6,22.6,10114581000116109,24307351000116109,51413301,,,,,,,,,,,,,
Amidotrizoate Meglumine/Amidotrizoate Sodium,"Diatrizoate Meglumine/Diatrizoate Sodium, Gastrografin",,Parenteral,Solution,,140mg per mL,20mL,,,,,,933f3f00,53e82b6c,a5d79c00,e1388500,,dc932700,3613d4bf,,,,,,,14.2,14.2,31220531000116103,,51441716,,,,,,,,,,,,,
Amidotrizoate Meglumine/Amidotrizoate Sodium,"Diatrizoate Meglumine/Diatrizoate Sodium, Gastrografin",,Parenteral,Solution,,280mg per mL,20mL,,,,,,933f3f00,53e82b6c,a5d79c00,e1388500,,cf414e00,361dc4bf,,,,,,,14.2,14.2,31220531000116103,,51441716,,,,,,,,,,,,,
Amidotrizoate Meglumine/Amidotrizoate Sodium,"Diatrizoate Meglumine/Diatrizoate Sodium, Gastrografin",,Parenteral,Solution,,420mg per mL,20mL,,,,,,933f3f00,53e82b6c,a5d79c00,e1388500,,c492d900,3627c4bf,,,,,,,14.2,14.2,31220531000116103,,51441716,,,,,,,,,,,,,
Amikacin,,,Parenteral,Powder for reconstitution,,100mg,,,,,,,933f3f00,b336a02e,4782f600,d46de100,,3636e4bf,,,,,,,641,"6.2.1, 6.2.5",6.2.5,10038721000116105,,51281627,,,,,,,,,,,,,
Amikacin,,,Parenteral,Powder for reconstitution,,1g,,,,,,,933f3f00,b336a02e,4782f600,d46de100,,363194bf,,,,,,,641,"6.2.1, 6.2.5",6.2.5,10038721000116105,46208471000116109,51281627,,,,,,,,,,,,,
Amikacin,,,Parenteral,Powder for reconstitution,,500mg,,,,,,,933f3f00,b336a02e,4782f600,d46de100,,363bd4bf,,,,,,,641,"6.2.1, 6.2.5",6.2.5,10038721000116105,10039001000116106,51281627,,,,,,,,,,,,,
Amiloride,,,Oral,Tablet,,5mg,,,,,,,933f3f00,38f21fb0,d3192000,96d36300,,3640b4bf,,,,,,,644,16,16,10039091000116101,10039111000116109,51191506,,,,,,,,,,,,,
Aminophylline,,,Oral,Tablet,,100mg,,,,,,,933f3f00,42335d86,fc709a00,e934f500,,46ae143e,,,,,,,689,,,10039461000116102,,51391602,,,,,,,,,,,,,
Aminophylline,,,Parenteral,Solution,,25mg per mL,10mL,,,,,,933f3f00,42335d86,3a13e400,b1f31700,,ec8a3800,46a7343e,,,,,,689,,,10039461000116102,10039571000116108,51391602,,,,,,,,,,,,,
Amiodarone,,,Oral,Tablet,,100mg,,,,,,,933f3f00,f7e4e646,fae17e00,3e724900,,360f14bf,,,,,,,703,12.2,12.2,10039821000116106,10066381000116104,51123601,,,,,,,,,,,,,
Amiodarone,,,Parenteral,Solution,,50mg per mL,3mL,,,,,,933f3f00,f7e4e646,88abe800,1b3b0b00,,0ce01b00,360a24bf,,,,,,703,12.2,12.2,10039821000116106,10039841000116101,51123601,,,,,,,,,,,,,
Amitriptyline,,,Oral,Tablet,,10mg,,,,,,,933f3f00,6f073c09,ad19dd00,04052c00,,366864bf,,,,,,,704,"2.3, 24.2.1",2.3,10039931000116101,10039951000116106,51293002,,,,,,,,,,,,,
Amitriptyline,,,Oral,Tablet,,25mg,,,,,,,933f3f00,6f073c09,ad19dd00,04052c00,,366d74bf,,,,,,,704,"2.3, 24.2.1","2.3, 24.2.1",10039931000116101,10040191000116107,51293002,,,,,,,,,,,,,
Amitriptyline,,,Oral,Tablet,,75mg,,,,,,,933f3f00,6f073c09,ad19dd00,04052c00,,367264bf,,,,,,,704,"2.3, 24.2.1","2.3, 24.2.1",10039931000116101,,51293002,,,,,,,,,,,,,
Amlodipine Besylate,,,Oral,Tablet,,5mg,,,,,,,933f3f00,ef33595d,b16dc6ed1,199d0600,,366394bf,,,,,,,104416,12.3,12.3,10051311000116106,,51433924,,,,,,,,,,,,,
Amlodipine Maleate,,,Oral,Tablet,,5mg,,,,,,,933f3f00,bf8273cc,1a5fb100,cc83b000,,365004bf,,,,,,,104416,12.3,12.3,10051311000116106,,51433925,,,,,,,,,,,,,
Amlodipine Mesylate,,,Oral,Tablet,,5mg,,,,,,,933f3f00,846d01fe,48d3b300,0bafaa00,,365e84bf,,,,,,,104416,12.3,12.3,10051311000116106,,51433928,,,,,,,,,,,,,
Amodiaquine,,,Oral,Tablet,,153mg,,,,,,,933f3f00,c539c785,4bb7c500,61cb7400,,35fa94bf,,,,,,,720,6.5.3.1,6.5.3.1,,,51101913,,,,,,,,,,,,,
Amodiaquine,,,Oral,Tablet,,200mg,,,,,,,933f3f00,c539c785,4bb7c500,61cb7400,,35ff74bf,,,,,,,720,6.5.3.1,6.5.3.1,,,51101913,,,,,,,,,,,,,
Amodiaquine/Artesunate,,c539c785/e15a8cba,Oral,Tablet,,135mg/50mg,,,,,,,933f3f00,5bef4863,b1c9ca00,e9e96500,,36af94bf,,,,,,,,6.5.3.1,6.5.3.1,,,,,,,,,,,,,,,,
Amodiaquine/Artesunate,,c539c785/e15a8cba,Oral,Tablet,,270mg/100mg,,,,,,,933f3f00,5bef4863,b1c9ca00,e9e96500,,369d84bf,,,,,,,,6.5.3.1,6.5.3.1,,,,,,,,,,,,,,,,
Amodiaquine/Artesunate,,c539c785/e15a8cba,Oral,Tablet,,67.5mg/25mg,,,,,,,933f3f00,5bef4863,b1c9ca00,e9e96500,,36a284bf,,,,,,,,6.5.3.1,6.5.3.1,,,,,,,,,,,,,,,,
Amoxicillin,,,Oral,Capsule,,250mg,,,,,,,933f3f00,4231441c,4d0c6700,fad61900,,368c74bf,,,,,,,723,6.2.1,6.2.1,20023151000116107,10042271000116104,51281702,,,,,,,,,,,,,
Amoxicillin,,,Oral,Capsule,,500mg,,,,,,,933f3f00,4231441c,4d0c6700,fad61900,,3692b4bf,,,,,,,723,6.2.1,6.2.1,20023151000116107,10042481000116101,51281702,,,,,,,,,,,,,
Amoxicillin,,,Oral,Powder for reconstitution,,25mg per mL,100mL,,,,,,933f3f00,4231441c,4d0c6700,f2d58e00,,d32a7200,367c44bf,,,,,,723,6.2.1,6.2.1,20023151000116107,10042721000116109,51281702,,,,,,,,,,,,,
Amoxicillin,,,Oral,Powder for reconstitution,,50mg per mL,100mL,,,,,,933f3f00,4231441c,4d0c6700,f2d58e00,,3a676d00,368674bf,,,,,,723,6.2.1,6.2.1,20023151000116107,10042641000116105,51281702,,,,,,,,,,,,,
Amoxicillin/Clavulanic Acid,Amoxicillin/Clavulanate,,Oral,Powder for reconstitution,,25mg/6.25mg per mL,75mL,,,,,,933f3f00,230fd746,2f9e9500,14a9b700,,0d794f00,367734bf,,,,,,19711,"6.2.1, 6.2.5","6.2.1, 6.2.5",20038721000116109,10032921000116106,,,,,,,,,,,,,,
Amoxicillin/Clavulanic Acid,Amoxicillin/Clavulanate,,Oral,Powder for reconstitution,,50mg/12.5mg per mL,5mL,,,,,,933f3f00,230fd746,2f9e9500,14a9b700,,465c7c00,368154bf,,,,,,19711,"6.2.1, 6.2.5 ","6.2.1, 6.2.5",20038721000116109,10033031000116104,,,,,,,,,,,,,,
Amoxicillin/Clavulanic Acid,Amoxicillin/Clavulanate,,Oral,Tablet,,500mg/125mg,,,,,,,933f3f00,230fd746,2f9e9500,753d9e00,,369844bf,,,,,,,19711,"6.2.1, 6.2.5 ","6.2.1, 6.2.5",20038721000116109,10033131000116100,,,,,,,,,,,,,,
Amphotericin B Liposomal,,,Parenteral,Powder for reconstitution,,50mg,,,,,,,933f3f00,e72ed600,fcea4100,8a32c300,,36cc04bf,,,,,,,,"6.3, 6.5.2","6.3, 6.5.2",10037041000116103,10037061000116102,51302401,,,,,,,,,,,,,
Amphotericin B Sodium Deoxycholate,,,Parenteral,Powder for reconstitution,,50mg,,,,,,,933f3f00,004f2240,2912b200,29aead00,,36c694bf,,,,,,,,"6.3, 6.5.2","6.3, 6.5.2",10037041000116103,20024531000116107,51302401,,,,,,,,,,,,,
Ampicillin,,,Oral,Capsule,,250mg,,,,,,,933f3f00,c52ca9ee,69ab1600,b6758100,,46b3f43e,,,,,,,733,6.2.1,,,,51281703,,,,,,,,,,,,,
Ampicillin,,,Oral,Capsule,,500mg,,,,,,,933f3f00,c52ca9ee,69ab1600,b6758100,,528d0c00,,,,,,,733,6.2.1,,,,51281703,,,,,,,,,,,,,
Ampicillin,,,Oral,Powder for reconstitution,,25mg per mL,5mL,,,,,,933f3f00,c52ca9ee,69ab1600,3522ba00,,57d27a00,46b9f43e,,,,,,733,6.2.1,,,,51281702,,,,,,,,,,,,,
Ampicillin,,,Oral,Powder for reconstitution,,50mg per mL,5mL,,,,,,933f3f00,c52ca9ee,69ab1600,3522ba00,,368f5500,46bf643e,,,,,,733,6.2.1,,,,51281702,,,,,,,,,,,,,
Ampicillin,,,Oral,Tablet,,250mg,,,,,,,933f3f00,c52ca9ee,69ab1600,a2180300,,46c4943e,,,,,,,733,6.2.1,,,,51281702,,,,,,,,,,,,,
Ampicillin,,,Parenteral,Powder for reconstitution,,1g,,,,,,,933f3f00,c52ca9ee,a586bc00,68fa8f00,,3654d4bf,,,,,,,733,6.2.1,6.2.1,,,51281702,,,,,,,,,,,,,
Ampicillin,,,Parenteral,Powder for reconstitution,,500mg,,,,,,,933f3f00,c52ca9ee,a586bc00,68fa8f00,,3659b4bf,,,,,,,733,6.2.1,6.2.1,,,51281702,,,,,,,,,,,,,
Anastrozole,,,Oral,Tablet,,1mg,,,,,,,933f3f00,4dda6d57,e7dde900,42e90800,,36b514bf,,,,,,,84857,8.2.4,8.2.4,10068541000116101,10068561000116100,51111875,,,,,,,,,,,,,
Anti-D Immunoglobulin,,,Parenteral,Solution,,250mcg,,,,,,,933f3f00,c24cdb96,c903ab00,3384c400,,358324bf,,,,,,,,11.2.1,11.2.1,40986601000116108,44021901000116108,51201805,,,,,,,,,,,,,
Anti-rabies Immunoglobulin,Human Rabies Immune Globulin,,Parenteral,Solution,,150IU per mL,2mL,,,,,,933f3f00,374f7380,60ffc200,9ad95e00,,357d94bf,a2503d00,,,,,,89886,11.2.1,11.2.1,10374771000116104,10374881000116109,,,,,,,,,,,,,,
Anti-tetanus Immunoglobulin,Tetanus Immune Globulin,,Parenteral,Solution,,250IU per mL,2mL,,,,,,933f3f00,20b55ebc,4a277d00,960aa900,,64f284bf,2dabf000,,,,,,1727875,11.2.1,11.2.1,31144781000116101,31144841000116102,,,,,,,,,,,,,,
Artemether,,,Parenteral,Solution,,80mg per mL,1mL,,,,,,933f3f00,2b6394cf,eb5c4c00,db62c800,,16966b00,36f4d4bf,,,,,,18343,6.5.3.1,6.5.3.1,,,51101908,,,,,,,,,,,,,
Artemether/Lumefantrine,,,Oral,Tablet,Dispersible,20mg/120mg,,,,,,,933f3f00,d7c77eb8,75e20c00,8d9b70c5,364ae4bf,d560e600,,,,,,,282448,6.5.3.1,6.5.3.1,24300501000116100,44351211000116103,51102901,,,,,,,,,,,,,
Artemether/Lumefantrine,,,Oral,Tablet,,20mg/120mg,,,6,,,,933f3f00,d7c77eb8,75e20c00,8d9b70c5,,49289f00,,,3645d4bf,,,,282448,6.5.3.1,6.5.3.1,24300501000116100,24300491000116109,51102901,,,,,,,,,,,,,
Artemether/Lumefantrine,,,Oral,Tablet,,20mg/120mg,,,12,,,,933f3f00,d7c77eb8,75e20c00,8d9b70c5,,49289f00,,,199ffeec,,,,282448,6.5.3.1,6.5.3.1,24300501000116100,,51102901,,,,,,,,,,,,,
Artemether/Lumefantrine,,,Oral,Tablet,,20mg/120mg,,,18,,,,933f3f00,d7c77eb8,75e20c00,8d9b70c5,,49289f00,,,46cfdeec,,,,282448,6.5.3.1,6.5.3.1,24300501000116100,,51102901,,,,,,,,,,,,,
Artemether/Lumefantrine,,,Oral,Tablet,,20mg/120mg,,,24,,,,933f3f00,d7c77eb8,75e20c00,8d9b70c5,,49289f00,,,566bceec,,,,282448,6.5.3.1,6.5.3.1,24300501000116100,,51102901,,,,,,,,,,,,,
Artesunate,,,Oral,Tablet,,50mg,,,,,,,933f3f00,e15a8cba,a1b9df00,a0ad2600,,36da64bf,,,,,,,18346,6.5.3.1,6.5.3.1,24300561000116101,,51101814,,,,,,,,,,,,,
Artesunate,,,Parenteral,Powder for reconstitution,,60mg,,,,,,,933f3f00,e15a8cba,36a762d8,36df14bf,,b8945c0bc,,,,,,,18346,6.5.3.1,6.5.3.1,24300561000116101,24300581000116108,51101814,,,,,,,,,,,,,
Artesunate,,,Rectal,Suppository,,200mg,,,,,,,933f3f00,e15a8cba,6daf5100,8fa05300,,36d0c4bf,,,,,,,18346,6.5.3.1,6.5.3.1,24300561000116101,,51101814,,,,,,,,,,,,,
Artesunate,,,Rectal,Suppository,,50mg,,,,,,,933f3f00,e15a8cba,6daf5100,8fa05300,,36d5b4bf,,,,,,,18346,6.5.3.1,6.5.3.1,24300561000116101,,51101814,,,,,,,,,,,,,
Artesunate/Mefloquine,,e15a8cba/cabc6021,Oral,Tablet,,100mg/220mg,,,,,,,933f3f00,83797e61,d5b69400,05cb0700,,36eeb4bf,,,,,,,,6.5.3.1,6.5.3.1,,,,,,,,,,,,,,,,
Artesunate/Mefloquine,,e15a8cba/cabc6021,Oral,Tablet,,25mg/55mg,,,,,,,933f3f00,83797e61,d5b69400,05cb0700,,36f1c4bf,,,,,,,,6.5.3.1,6.5.3.1,,,,,,,,,,,,,,,,
Ascorbic Acid,Vitamin C,,Oral,Tablet,,50mg,,,,,,,933f3f00,cf86d2a9,8b19ae00,ea89b900,,36eba4bf,,,,,,,1151,27,27,10033231000116106,10051861000116100,12162201,,,,,,,,,,,,,
Asparaginase,L-Asparaginase / Calaspase,,Parenteral,Powder for reconstitution,,10000IU,,,,,,,933f3f00,c97846fa,6e259800,ad8dfb00,,355614bf,,,,,,,1156,8.2.1,8.2.1,10170271000116108,31269651000116109,51111901,,,,,,,,,,,,,
Atazanavir,,,Oral,Capsule,,100mg,,,,,,,933f3f00,ebb38034,80a0d200,7685dc00,,3749c4bf,,,,,,,343047,6.4.2.3,6.4.2.3,10621721000116108,,51342701,,,,,,,,,,,,,
Atazanavir,,,Oral,Capsule,,150mg,,,,,,,933f3f00,ebb38034,80a0d200,7685dc00,,374dc4bf,,,,,,,343047,6.4.2.3,,10621721000116108,10621831000116101,51342701,,,,,,,,,,,,,
Atazanavir,,,Oral,Capsule,,300mg,,,,,,,933f3f00,ebb38034,80a0d200,7685dc00,,375154bf,,,,,,,343047,6.4.2.3,6.4.2.3,10621721000116108,20044651000116101,51342701,,,,,,,,,,,,,
Atazanavir/Ritonavir,,ebb38034/8f3cd8d6,Oral,Tablet,,300mg/100mg,,,,,,,933f3f00,383326a5,5a7d2f00,67a33600,,46ca843e,,,,,,,,6.4.2.3,6.4.2.3,,,,,,,,,,,,,,,,
Atenolol,,,Oral,Tablet,,100mg,,,,,,,933f3f00,853ae65a,450d2100,0e3b6000,,36fad4bf,,,,,,,1202,12.3,,10048271000116101,10048381000116106,51263101,,,,,,,,,,,,,
Atenolol,,,Oral,Tablet,,50mg,,,,,,,933f3f00,853ae65a,450d2100,0e3b6000,,36f7d4bf,,,,,,,1202,12.3,,10048271000116101,10048291000116102,51263101,,,,,,,,,,,,,
Atracurium,,,Parenteral,Solution,,10mg per mL,2.5mL,,,,,,933f3f00,32d6de22,3e6ca300,65ab1300,,caa98a00,3729d4bf,,,,,,1218,20,20,10759131000116104,"10080291000116107, 10080381000116103",51152001,,,,,,,,,,,,,
Atropine,Atropine Sulfate,,Eye,Drop,,0.1%,10mL,,,,,,933f3f00,46cf59d1,63ea2400,5d705700,,370404bf,95e56e00,,,,,,1223,"1.3, 4.2, 21.5",21.5,10759141000116106,46727501000116104,51151616,,,,,,,,,,,,,
Atropine,,,Eye,Drop,,0.5%,10mL,,,,,,933f3f00,46cf59d1,63ea2400,5d705700,,371084bf,a9267900,,,,,,1223,"1.3, 4.2, 21.5",21.5,10759141000116106,10081611000116108,51151616,,,,,,,,,,,,,
Atropine,,,Eye,Drop,,1%,0.5mL,,,,,,933f3f00,46cf59d1,63ea2400,5d705700,,371a54bf,5b31c700,,,,,,1223,"1.3, 4.2, 21.5",21.5,10759141000116106,20063501000116108,51151616,,,,,,,,,,,,,
Atropine,,,Eye,Drop,,1%,15mL,,,,,,933f3f00,46cf59d1,63ea2400,5d705700,,371a54bf,954f5800,,,,,,1223,"1.3, 4.2, 21.5",21.5,10759141000116106,10081521000116100,51151616,,,,,,,,,,,,,
Atropine,,,Parenteral,Solution,,1mg per mL,1mL,,,,,,933f3f00,46cf59d1,0f983500,ce4a2500,,9b945400,370d64bf,,,,,,1223,"1.3, 4.2, 21.5","1.3, 4.2",10759141000116106,,51151616,,,,,,,,,,,,,
Azathioprine,,,Oral,Tablet,,50mg,,,,,,,933f3f00,2d4f522e,41dc4b00,a0f5e200,,3723a4bf,,,,,,,1256,"8.1, 29.2","8.1, 29.2",10086731000116104,10086751000116109,51203401,,,,,,,,,,,,,
Azathioprine,,,Parenteral,Powder for reconstitution,,100mg,,,,,,,933f3f00,2d4f522e,7d69be00,27d98900,,3726a4bf,,,,,,,1256,"8.1, 29.2",8.1,10086731000116104,,51203401,,,,,,,,,,,,,
Azithromycin,,,Eye,Drop,,1.5%,,,,,,,933f3f00,c267e1c3,28036c00,818ef100,,374364bf,,,,,,,18631,"6.2.2, 21.1 ",21.1,47284381000116105,47284421000116103,51282301,,,,,,,,,,,,,
Azithromycin,Azithromycin dihydrate,,Oral,Capsule,,250mg,,,,,,,933f3f00,c267e1c3,8ac51d00,f0447f00,,373ad4bf,,,,,,,18631,"6.2.2, 21.1",6.2.2,10070261000116109,10754261000116101,51282301,,,,,,,,,,,,,
Azithromycin,,,Oral,Capsule,,500mg,,,,,,,933f3f00,c267e1c3,8ac51d00,f0447f00,,373f64bf,,,,,,,18631,"6.2.2, 21.1",6.2.2,10070261000116109,10070281000116102,51282301,,,,,,,,,,,,,
Azithromycin,,,Oral,Powder for reconstitution,,40mg per mL,15mL,,,,,,933f3f00,c267e1c3,8ac51d00,a78d4600,,0f10bb00,373654bf,,,,,,18631,"6.2.2, 21.1",6.2.2,10070261000116109,10754391000116104,51282301,,,,,,,,,,,,,
Barium Sulfate,,,Oral,Powder for reconstitution,,976.5mg per g,20kg,,,,,,933f3f00,3754f4bf,ef29e400,48a77e00,,ef590b00,5db1b300,,,,,,1311067,14.2,,10760601000116100,45330341000116109,51441577,,,,,,,,,,,,,
Barium Sulfate,,,Oral,Powder for reconstitution,,976.5mg per g,300g,,,,,,933f3f00,3754f4bf,ef29e400,48a77e00,,ef590b00,3839b000,,,,,,1311067,14.2,,10760601000116100,10411861000116100,51441577,,,,,,,,,,,,,
Barium Sulfate,,,Oral,Suspension,,2.2%,450mL,,,,,,933f3f00,3754f4bf,ef29e400,6ab11700,,b4a1e800,b3cdb100,,,,,,1311067,14.2,,10760601000116100,10412281000116100,51441577,,,,,,,,,,,,,
Barium Sulfate,,,Oral,Suspension,,125%,1.25L,,,,,,933f3f00,3754f4bf,ef29e400,6ab11700,,ed204900,ccdb2c00,,,,,,1311067,14.2,,10760601000116100,45398941000116102,51441577,,,,,,,,,,,,,
Barium Sulfate,,,Oral,Suspension,,125%,2L,,,,,,933f3f00,3754f4bf,ef29e400,6ab11700,,ed204900,10bd3f00,,,,,,1311067,14.2,,10760601000116100,,51441577,,,,,,,,,,,,,
Barium Sulfate,,,Oral,Suspension,,125%,350mL,,,,,,933f3f00,3754f4bf,ef29e400,6ab11700,,ed204900,7b7fa200,,,,,,1311067,14.2,,10760601000116100,,51441577,,,,,,,,,,,,,
Barium Sulfate,,,Oral,Suspension,,125%,500mL,,,,,,933f3f00,3754f4bf,ef29e400,6ab11700,,ed204900,5227dd00,,,,,,1311067,14.2,,10760601000116100,,51441577,,,,,,,,,,,,,
Barium Sulfate,,,Oral,Powder for reconstitution,,976.5mg per g,20kg,,,,,,933f3f00,3754f4bf,ef29e400,48a77e00,,ef590b00,5db1b300,,,,,,1311067,14.2,,10760601000116100,45330341000116100,51441577
Barium Sulfate,,,Oral,Powder for reconstitution,,976.5mg per g,300g,,,,,,933f3f00,3754f4bf,ef29e400,48a77e00,,ef590b00,3839b000,,,,,,1311067,14.2,,10760601000116100,10411861000116100,51441577
